GEOID,name,population,est_count,choro_label,area_km
24005,"Baltimore County, Maryland",846161,313,"Baltimore County, Maryland: 313",795609.4547242078
24047,"Worcester County, Maryland",53866,0,"Worcester County, Maryland: 0",1290953.9976156515
24031,"Montgomery County, Maryland",1052521,118,"Montgomery County, Maryland: 118",1022359.2774605084
24037,"St. Mary's County, Maryland",114877,0,"St. Mary's County, Maryland: 0",1702131.289628564
24017,"Charles County, Maryland",170102,3,"Charles County, Maryland: 3",902620.5583305332
24021,"Frederick County, Maryland",287079,30,"Frederick County, Maryland: 30",1040566.3475241457
24043,"Washington County, Maryland",155590,2,"Washington County, Maryland: 2",1106996.8698753112
24027,"Howard County, Maryland",335411,21,"Howard County, Maryland: 21",1162996.3793078142
24033,"Prince George's County, Maryland",946971,114,"Prince George's County, Maryland: 114",780392.5570359182
24015,"Cecil County, Maryland",104942,0,"Cecil County, Maryland: 0",1171724.514544106
24025,"Harford County, Maryland",263867,2,"Harford County, Maryland: 2",1512650.0069640763
24035,"Queen Anne's County, Maryland",51711,1,"Queen Anne's County, Maryland: 1",1253512.2196393528
24001,"Allegany County, Maryland",67267,0,"Allegany County, Maryland: 0",1167727.3807490787
24019,"Dorchester County, Maryland",32726,0,"Dorchester County, Maryland: 0",974690.2465209732
24029,"Kent County, Maryland",19320,0,"Kent County, Maryland: 0",1607443.5247273752
24009,"Calvert County, Maryland",94573,1,"Calvert County, Maryland: 1",1209394.790988219
24023,"Garrett County, Maryland",28579,0,"Garrett County, Maryland: 0",615126.3860297374
24041,"Talbot County, Maryland",37932,0,"Talbot County, Maryland: 0",843768.6950767331
24045,"Wicomico County, Maryland",104664,32,"Wicomico County, Maryland: 32",655619.8687913539
24003,"Anne Arundel County, Maryland",593286,173,"Anne Arundel County, Maryland: 173",1311830.7376893302
24510,"Baltimore city, Maryland",569931,260,"Baltimore city, Maryland: 260",1549124.779910871
24011,"Caroline County, Maryland",33433,0,"Caroline County, Maryland: 0",1727341.4093874577
24039,"Somerset County, Maryland",24546,0,"Somerset County, Maryland: 0",995156.6805274872
24013,"Carroll County, Maryland",175305,2,"Carroll County, Maryland: 2",223606.89435121007
