id,lieu,coord_1,coord_2,etat_toxique,dimensions,description
1.1,Décharge d'Akoudeo,5.35706N,3.93492W,Est[80 x 2m & 20 x 4m] Ouest[80m x 1.5m],
1.2,,5.35144N,3.93706W,liquide,80m x 0.5m,
1.3,,5.35137N,3.9356W,liquide,8x7m (50cm profondeur),
2.1,Abobo Anador,5.39036N,4.00624W,liquide,,
2.2,Abobo Anador,5.40126N,4.01972W,Flaque au sol,En amont et aval du canyon. 3 dépots de camions.
2.3,Abobo Anador,5.39934N,4.01994W,Flaque au sol,Aire de réparation (env. 100 litres déverses)
2.5,Abobo Anador,5.3991N,4.01973W,Liquide dissolut (sable),trou 2 m profondeur (1x1),
3.1,Abobo Foret du Banco,5.40696N,4.02677W,,4x2 (30 cm profondeur)
4.1,Abattoir municipal d'Abobo,5.45368N,3.97356W,,150x15m (principal),evoluted 150m more sur 5m
4.2,Abattoir municipal d'Abobo,5.45512N,3.97287W,,,
5.1,Route d'Alepe,5.45937N,3.97179W,,,Dépot le long de la route
6.1,Route de Anyama Ndotre,5.42257N,4.07302W,,30m x 1m,Dépot de long de la route
6.2,Route de Anyama Ndotre,5.41388N,4.07787W,,10m x 2m,Dépot de long de la route
7.1,Foret du Banco Cote MACA,5.38947N,4.07857W,,,Dépot de long de la route
8.1,Tri postal Vridi,5.26128N,4.00202W,,,Dépot dans un canal
9.1,Vridi Canal Site no. 2,5.26343N,4.00003W,Décharge en citerne
10.1,Décharge en résevoir et canal d'épuration,5.29229N,3.94695W,Liquide et sol (couvert de charbon de bois),100m sur 5m,
