GEO_ID,NAME,P1_001N,P1_002N,P1_003N,P1_004N
Geography,Geographic Area Name, !!Total:, !!Total:!!Population of one race:, !!Total:!!Population of one race:!!White alone, !!Total:!!Population of one race:!!Black or African American alone
0500000US12001,"Alachua County, Florida",278468,250960,170245,52156
0500000US12003,"Baker County, Florida",28259,27154,22565,3847
0500000US12005,"Bay County, Florida",175216,159888,131304,17856
0500000US12007,"Bradford County, Florida",28303,27135,20929,5478
0500000US12009,"Brevard County, Florida",606612,545794,448180,58692
0500000US12011,"Broward County, Florida",1944375,1559585,776174,531910
0500000US12013,"Calhoun County, Florida",13648,12802,10741,1682
0500000US12015,"Charlotte County, Florida",186847,173903,157543,9268
0500000US12017,"Citrus County, Florida",153843,144110,134596,4122
0500000US12019,"Clay County, Florida",218245,197040,154895,26624
0500000US12021,"Collier County, Florida",375752,320816,257007,23349
0500000US12023,"Columbia County, Florida",69698,65032,50735,11593
0500000US12027,"DeSoto County, Florida",33976,30020,21320,4270
0500000US12029,"Dixie County, Florida",16759,15971,14057,1571
0500000US12031,"Duval County, Florida",995567,906087,514782,292337
0500000US12033,"Escambia County, Florida",321905,296278,206982,68978
0500000US12035,"Flagler County, Florida",115378,104994,87661,10935
0500000US12037,"Franklin County, Florida",12451,11811,10002,1422
0500000US12039,"Gadsden County, Florida",43826,41584,14936,23435
0500000US12041,"Gilchrist County, Florida",17864,16704,15170,801
0500000US12043,"Glades County, Florida",12126,10802,8241,1469
0500000US12045,"Gulf County, Florida",14192,13475,11399,1703
0500000US12047,"Hamilton County, Florida",14004,13315,8028,4477
0500000US12049,"Hardee County, Florida",25327,20961,14821,2179
0500000US12051,"Hendry County, Florida",39619,31834,18446,4357
0500000US12053,"Hernando County, Florida",194515,174448,152496,10263
0500000US12055,"Highlands County, Florida",101235,90284,71549,9891
0500000US12057,"Hillsborough County, Florida",1459762,1213730,767348,237434
0500000US12059,"Holmes County, Florida",19653,18766,17063,1237
0500000US12061,"Indian River County, Florida",159788,145720,122541,13367
0500000US12063,"Jackson County, Florida",47319,45054,31381,12150
0500000US12065,"Jefferson County, Florida",14510,13922,8905,4621
0500000US12067,"Lafayette County, Florida",8226,7870,6363,1045
0500000US12069,"Lake County, Florida",383956,342554,269452,39544
0500000US12071,"Lee County, Florida",760822,663644,530637,58916
0500000US12073,"Leon County, Florida",292198,270566,163927,88862
0500000US12075,"Levy County, Florida",42915,39758,34111,3690
0500000US12077,"Liberty County, Florida",7974,7645,5926,1357
0500000US12079,"Madison County, Florida",17968,17167,10425,6310
0500000US12081,"Manatee County, Florida",399710,358329,289188,32121
0500000US12083,"Marion County, Florida",375908,338609,268563,44411
0500000US12085,"Martin County, Florida",158431,144862,124465,7582
0500000US12086,"Miami-Dade County, Florida",2701767,1570186,796893,400002
0500000US12087,"Monroe County, Florida",82874,70397,60153,4807
0500000US12089,"Nassau County, Florida",90352,84611,77047,5035
0500000US12091,"Okaloosa County, Florida",211668,188035,151861,19660
0500000US12093,"Okeechobee County, Florida",39644,35512,27333,3405
0500000US12095,"Orange County, Florida",1429908,1164813,629789,277027
0500000US12097,"Osceola County, Florida",388656,291049,157720,40775
0500000US12099,"Palm Beach County, Florida",1492191,1283933,855682,262422
0500000US12101,"Pasco County, Florida",561891,496812,417086,34004
0500000US12103,"Pinellas County, Florida",959107,874645,709036,94154
0500000US12105,"Polk County, Florida",725046,631275,439034,105533
0500000US12107,"Putnam County, Florida",73321,68093,52345,11444
0500000US12109,"St. Johns County, Florida",273425,249317,220420,13363
0500000US12111,"St. Lucie County, Florida",329226,288170,192202,66407
0500000US12113,"Santa Rosa County, Florida",188000,171424,151133,11035
0500000US12115,"Sarasota County, Florida",434006,400387,359053,16781
0500000US12117,"Seminole County, Florida",470856,401616,289597,53509
0500000US12119,"Sumter County, Florida",129752,124240,112058,8593
0500000US12121,"Suwannee County, Florida",43474,40448,33024,5010
0500000US12123,"Taylor County, Florida",21796,20887,16047,4209
0500000US12125,"Union County, Florida",16147,15528,11903,3233
0500000US12127,"Volusia County, Florida",553543,498561,400163,57789
0500000US12129,"Wakulla County, Florida",33764,31795,26614,4250
0500000US12131,"Walton County, Florida",75305,69567,61858,3339
0500000US12133,"Washington County, Florida",25318,23831,19811,3283
