Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,131496,Georgetown University,00144500,1,Hilltop Campus,12688,0,0,8,,,0,,,0,1,68,5,1
2002,131496,Georgetown University,00144500,1,Hilltop Campus,12856,0,0,9,,,0,,,0,1,29,1,0
2003,131496,Georgetown University,00144500,1,Hilltop Campus,13164,0,0,16,,,0,,,1,0,26,5,0
2004,131496,Georgetown University,00144500,1,Hilltop Campus,13233,0,0,18,,,0,,,0,0,39,4,1
2005,131496,Georgetown University,00144500,1,Hilltop Campus,13652,0,0,4,,,0,,,0,11,26,1,0
2006,131496,Georgetown University,00144500,1,Hilltop Campus,14148,0,0,5,,,0,,,1,0,22,0,0
2007,131496,Georgetown University,00144500,1,Hilltop Campus,14826,0,0,6,,,0,,,0,1,20,0,1
2008,131496,Georgetown University,00144500,1,Hilltop Campus,15318,0,0,8,,,0,,,0,2,12,0,0
2009,131496,Georgetown University,00144500,1,Hilltop Campus,16520,0,0,9,,,0,,,2,3,27,0,0
2010,131496,Georgetown University,00144500,1,Hilltop Campus,16937,0,0,8,,,0,,,2,1,38,1,0
2011,131496,Georgetown University,00144500,1,Hilltop Campus,17130,0,0,3,,,0,,,1,2,35,0,0
2012,131496,Georgetown University,00144500,1,Hilltop Campus,17357,0,0,4,,,0,,,1,8,55,0,1
2013,131496,Georgetown University,00144500,1,Hilltop Campus,17849,0,0,6,,,0,,,0,2,45,1,0
2014,131496,Georgetown University,00144500,1,Hilltop Campus,17858,0,0,,12,2,,0,0,1,2,41,3,0
2015,131496,Georgetown University,00144500,1,Hilltop Campus,18459,0,0,,9,4,,0,0,1,4,31,3,0
2016,131496,Georgetown University,00144500,1,Hilltop Campus,18525,0,0,,11,12,,0,0,1,2,47,3,3
2017,131496,Georgetown University,00144500,1,Hilltop Campus,19005,0,0,,11,6,,0,0,0,1,31,2,1
2018,131496,Georgetown University,00144500,1,Hilltop Campus,19204,0,0,,11,7,,0,0,0,1,46,0,0
2019,131496,Georgetown University,00144500,1,Hilltop Campus,19593,0,0,,15,10,,0,0,2,0,57,11,0
2020,131496,Georgetown University,00144500,1,Hilltop Campus,19371,0,0,,6,6,,0,0,1,0,25,1,0
2021,131496,Georgetown University,00144500,1,Hilltop Campus,20935,0,0,,11,7,,0,0,0,3,22,0,0
2022,131496,Georgetown University,00144500,1,Hilltop Campus,20984,0,0,,9,14,,0,0,0,2,22,0,0
2023,131496,Georgetown University,00144500,1,Hilltop Campus,20392,0,0,,5,3,,0,0,0,1,15,1,2
